request_id,model_id,forward_id,generation,consumer_node,layer,expert,bytes,component_mask,actual_drive_id,actual_path,actual_load,consumer_need_ns,predicted_ready_ns,predicted_uncertainty_ns,predicted_resource_id,issue_ns,ready_ns,load_result,completed
1,7,1,1,1,1,0,512,63,101,101|201|301,101:1:512|201:1:512|301:1:512,136439178055300,136438178206306,0,101,136438178219800,136438178246300,0,1
2,7,1,1,0,1,1,512,63,101,101|201|301,101:2:1024|201:2:1024|301:2:1024,136439178055300,136438178207806,0,102,136438178226500,136438178262700,0,1
