# colibri-trace,v1
ns,forward,thread,kind,layer,eid,generation,resource
7019161961600,7,0,msa_scan_end,1,-1,0,3
7019161961600,7,0,msa_select_begin,1,-1,0,3
7019161961800,7,0,msa_select_end,1,-1,0,3
7019162057300,7,0,route_ready,1,1,0,0
7019162057300,7,0,route_ready,1,0,0,0
7019162057900,7,0,weight_lru,1,1,0,0
7019162057900,7,0,weight_lru,1,0,0,1
7019162058100,7,0,compute_start,1,1,0,0
7019162150500,7,0,compute_end,1,1,0,0
7019162150900,7,0,compute_start,1,0,0,1
7019162240100,7,0,compute_end,1,0,0,1
7019162331200,7,0,forward_end,1,-1,0,1
7019162360900,8,0,forward_begin,0,-1,0,1
7019162770200,8,0,msa_scan_begin,1,-1,0,3
7019162770500,8,0,msa_scan_end,1,-1,0,3
7019162770500,8,0,msa_select_begin,1,-1,0,3
7019162770700,8,0,msa_select_end,1,-1,0,3
7019162871200,8,0,route_ready,1,1,0,0
7019162871300,8,0,route_ready,1,0,0,0
7019162871800,8,0,weight_lru,1,1,0,0
7019162871900,8,0,weight_lru,1,0,0,1
7019162872000,8,0,compute_start,1,1,0,0
7019162967500,8,0,compute_end,1,1,0,0
7019162967700,8,0,compute_start,1,0,0,1
7019163059200,8,0,compute_end,1,0,0,1
7019163156400,8,0,forward_end,1,-1,0,1
7019163188800,9,0,forward_begin,0,-1,0,1
7019163601800,9,0,msa_scan_begin,1,-1,0,3
7019163602100,9,0,msa_scan_end,1,-1,0,3
7019163602200,9,0,msa_select_begin,1,-1,0,3
7019163602300,9,0,msa_select_end,1,-1,0,3
7019163702500,9,0,route_ready,1,1,0,0
7019163702600,9,0,route_ready,1,0,0,0
7019163703100,9,0,weight_lru,1,1,0,0
7019163703100,9,0,weight_lru,1,0,0,1
7019163703300,9,0,compute_start,1,1,0,0
7019163800500,9,0,compute_end,1,1,0,0
7019163800800,9,0,compute_start,1,0,0,1
7019163898400,9,0,compute_end,1,0,0,1
7019163999200,9,0,forward_end,1,-1,0,1
7019164031600,10,0,forward_begin,0,-1,0,1
7019164446700,10,0,msa_scan_begin,1,-1,0,3
7019164446900,10,0,msa_scan_end,1,-1,0,3
7019164446900,10,0,msa_select_begin,1,-1,0,3
7019164447000,10,0,msa_select_end,1,-1,0,3
7019164542700,10,0,route_ready,1,1,0,0
7019164542700,10,0,route_ready,1,0,0,0
7019164543200,10,0,weight_lru,1,1,0,0
7019164543200,10,0,weight_lru,1,0,0,1
7019164543300,10,0,compute_start,1,1,0,0
7019164643700,10,0,compute_end,1,1,0,0
7019164643900,10,0,compute_start,1,0,0,1
7019164743000,10,0,compute_end,1,0,0,1
7019164841900,10,0,forward_end,1,-1,0,1
7019164871900,11,0,forward_begin,0,-1,0,1
7019165296900,11,0,msa_scan_begin,1,-1,0,4
7019165297100,11,0,msa_scan_end,1,-1,0,4
7019165297200,11,0,msa_select_begin,1,-1,0,4
7019165297400,11,0,msa_select_end,1,-1,0,4
7019165397600,11,0,route_ready,1,0,0,0
7019165397700,11,0,route_ready,1,1,0,0
7019165398100,11,0,weight_lru,1,0,0,0
7019165398100,11,0,weight_lru,1,1,0,1
7019165398200,11,0,compute_start,1,0,0,0
7019165493200,11,0,compute_end,1,0,0,0
7019165493500,11,0,compute_start,1,1,0,1
7019165588900,11,0,compute_end,1,1,0,1
7019165686400,11,0,forward_end,1,-1,0,1
7019165718600,12,0,forward_begin,0,-1,0,1
