# colibri-trace,v1
ns,forward,thread,kind,layer,eid,generation,resource
6634657152100,10,0,msa_scan_begin,1,-1,0,3
6634657152400,10,0,msa_scan_end,1,-1,0,3
6634657152500,10,0,msa_select_begin,1,-1,0,3
6634657152700,10,0,msa_select_end,1,-1,0,3
6634657296200,10,0,route_ready,1,1,0,0
6634657296200,10,0,route_ready,1,0,0,0
6634657296900,10,0,weight_lru,1,1,0,0
6634657296900,10,0,weight_lru,1,0,0,1
6634657297100,10,0,compute_start,1,1,0,0
6634657399200,10,0,compute_end,1,1,0,0
6634657399500,10,0,compute_start,1,0,0,1
6634657504200,10,0,compute_end,1,0,0,1
6634657607500,10,0,forward_end,1,-1,0,1
6634657640800,11,0,forward_begin,0,-1,0,1
6634658080700,11,0,msa_scan_begin,1,-1,0,4
6634658081100,11,0,msa_scan_end,1,-1,0,4
6634658081100,11,0,msa_select_begin,1,-1,0,4
6634658081400,11,0,msa_select_end,1,-1,0,4
6634658228700,11,0,route_ready,1,0,0,0
6634658228700,11,0,route_ready,1,1,0,0
6634658229400,11,0,weight_lru,1,0,0,0
6634658229400,11,0,weight_lru,1,1,0,1
6634658229700,11,0,compute_start,1,0,0,0
6634658343100,11,0,compute_end,1,0,0,0
6634658343400,11,0,compute_start,1,1,0,1
6634658439300,11,0,compute_end,1,1,0,1
6634658530500,11,0,forward_end,1,-1,0,1
6634658562800,12,0,forward_begin,0,-1,0,1
6634658985900,12,0,msa_scan_begin,1,-1,0,4
6634658986100,12,0,msa_scan_end,1,-1,0,4
6634658986200,12,0,msa_select_begin,1,-1,0,4
6634658986300,12,0,msa_select_end,1,-1,0,4
6634659094300,12,0,route_ready,1,1,0,0
6634659094300,12,0,route_ready,1,0,0,0
6634659094800,12,0,weight_lru,1,1,0,0
6634659094900,12,0,weight_lru,1,0,0,1
6634659095100,12,0,compute_start,1,1,0,0
6634659196500,12,0,compute_end,1,1,0,0
6634659196900,12,0,compute_start,1,0,0,1
6634659295100,12,0,compute_end,1,0,0,1
6634659391900,12,0,forward_end,1,-1,0,1
6634659424200,13,0,forward_begin,0,-1,0,1
6634659855300,13,0,msa_scan_begin,1,-1,0,4
6634659855700,13,0,msa_scan_end,1,-1,0,4
6634659855700,13,0,msa_select_begin,1,-1,0,4
6634659856000,13,0,msa_select_end,1,-1,0,4
6634659953200,13,0,route_ready,1,1,0,0
6634659953200,13,0,route_ready,1,0,0,0
6634659953800,13,0,weight_lru,1,1,0,0
6634659953800,13,0,weight_lru,1,0,0,1
6634659954000,13,0,compute_start,1,1,0,0
6634660051000,13,0,compute_end,1,1,0,0
6634660051300,13,0,compute_start,1,0,0,1
6634660159500,13,0,compute_end,1,0,0,1
6634660259200,13,0,forward_end,1,-1,0,1
6634660294500,14,0,forward_begin,0,-1,0,1
6634660709200,14,0,msa_scan_begin,1,-1,0,4
6634660709600,14,0,msa_scan_end,1,-1,0,4
6634660709700,14,0,msa_select_begin,1,-1,0,4
6634660709900,14,0,msa_select_end,1,-1,0,4
6634660816200,14,0,route_ready,1,1,0,0
6634660816200,14,0,route_ready,1,0,0,0
6634660816700,14,0,weight_lru,1,1,0,0
6634660816800,14,0,weight_lru,1,0,0,1
6634660816900,14,0,compute_start,1,1,0,0
6634660916900,14,0,compute_end,1,1,0,0
6634660917100,14,0,compute_start,1,0,0,1
6634661012400,14,0,compute_end,1,0,0,1
6634661113400,14,0,forward_end,1,-1,0,1
6634661145300,15,0,forward_begin,0,-1,0,1
6634661571100,15,0,msa_scan_begin,1,-1,0,5
6634661571500,15,0,msa_scan_end,1,-1,0,5
6634661571600,15,0,msa_select_begin,1,-1,0,5
6634661575800,15,0,msa_select_end,1,-1,0,5
6634661668900,15,0,route_ready,1,0,0,0
6634661668900,15,0,route_ready,1,1,0,0
6634661669300,15,0,weight_lru,1,0,0,0
6634661669400,15,0,weight_lru,1,1,0,1
6634661669500,15,0,compute_start,1,0,0,0
6634661762800,15,0,compute_end,1,0,0,0
6634661763000,15,0,compute_start,1,1,0,1
6634661864300,15,0,compute_end,1,1,0,1
6634661960400,15,0,forward_end,1,-1,0,1
6634661989700,16,0,forward_begin,0,-1,0,1
6634662402300,16,0,msa_scan_begin,1,-1,0,5
6634662402700,16,0,msa_scan_end,1,-1,0,5
6634662402700,16,0,msa_select_begin,1,-1,0,5
6634662403000,16,0,msa_select_end,1,-1,0,5
6634662500900,16,0,route_ready,1,1,0,0
6634662501000,16,0,route_ready,1,0,0,0
6634662501400,16,0,weight_lru,1,1,0,0
6634662501400,16,0,weight_lru,1,0,0,1
6634662501600,16,0,compute_start,1,1,0,0
6634662598300,16,0,compute_end,1,1,0,0
