# colibri-trace,v1
ns,forward,thread,kind,layer,eid,generation,resource
6634509150400,7,0,msa_scan_end,1,-1,0,3
6634509150500,7,0,msa_select_begin,1,-1,0,3
6634509150600,7,0,msa_select_end,1,-1,0,3
6634509237500,7,0,route_ready,1,1,0,0
6634509237500,7,0,route_ready,1,0,0,0
6634509237900,7,0,weight_lru,1,1,0,0
6634509238000,7,0,weight_lru,1,0,0,1
6634509238100,7,0,compute_start,1,1,0,0
6634509326200,7,0,compute_end,1,1,0,0
6634509326400,7,0,compute_start,1,0,0,1
6634509411600,7,0,compute_end,1,0,0,1
6634509499100,7,0,forward_end,1,-1,0,1
6634509530600,8,0,forward_begin,0,-1,0,1
6634509888400,8,0,msa_scan_begin,1,-1,0,3
6634509888700,8,0,msa_scan_end,1,-1,0,3
6634509888700,8,0,msa_select_begin,1,-1,0,3
6634509888900,8,0,msa_select_end,1,-1,0,3
6634509979300,8,0,route_ready,1,1,0,0
6634509979300,8,0,route_ready,1,0,0,0
6634509979700,8,0,weight_lru,1,1,0,0
6634509979700,8,0,weight_lru,1,0,0,1
6634509979800,8,0,compute_start,1,1,0,0
6634510067100,8,0,compute_end,1,1,0,0
6634510067400,8,0,compute_start,1,0,0,1
6634510151900,8,0,compute_end,1,0,0,1
6634510240600,8,0,forward_end,1,-1,0,1
6634510266000,9,0,forward_begin,0,-1,0,1
6634510625500,9,0,msa_scan_begin,1,-1,0,3
6634510625800,9,0,msa_scan_end,1,-1,0,3
6634510625900,9,0,msa_select_begin,1,-1,0,3
6634510626000,9,0,msa_select_end,1,-1,0,3
6634510708900,9,0,route_ready,1,1,0,0
6634510708900,9,0,route_ready,1,0,0,0
6634510709400,9,0,weight_lru,1,1,0,0
6634510709400,9,0,weight_lru,1,0,0,1
6634510709500,9,0,compute_start,1,1,0,0
6634510795700,9,0,compute_end,1,1,0,0
6634510795900,9,0,compute_start,1,0,0,1
6634510878900,9,0,compute_end,1,0,0,1
6634510966600,9,0,forward_end,1,-1,0,1
6634510994400,10,0,forward_begin,0,-1,0,1
6634511357800,10,0,msa_scan_begin,1,-1,0,3
6634511358000,10,0,msa_scan_end,1,-1,0,3
6634511358000,10,0,msa_select_begin,1,-1,0,3
6634511358100,10,0,msa_select_end,1,-1,0,3
6634511439400,10,0,route_ready,1,1,0,0
6634511439400,10,0,route_ready,1,0,0,0
6634511439800,10,0,weight_lru,1,1,0,0
6634511439800,10,0,weight_lru,1,0,0,1
6634511439900,10,0,compute_start,1,1,0,0
6634511522000,10,0,compute_end,1,1,0,0
6634511522300,10,0,compute_start,1,0,0,1
6634511610400,10,0,compute_end,1,0,0,1
6634511696700,10,0,forward_end,1,-1,0,1
6634511722300,11,0,forward_begin,0,-1,0,1
6634512085900,11,0,msa_scan_begin,1,-1,0,4
6634512086100,11,0,msa_scan_end,1,-1,0,4
6634512086200,11,0,msa_select_begin,1,-1,0,4
6634512086300,11,0,msa_select_end,1,-1,0,4
6634512175200,11,0,route_ready,1,0,0,0
6634512175300,11,0,route_ready,1,1,0,0
6634512175800,11,0,weight_lru,1,0,0,0
6634512175800,11,0,weight_lru,1,1,0,1
6634512176000,11,0,compute_start,1,0,0,0
6634512264400,11,0,compute_end,1,0,0,0
6634512264600,11,0,compute_start,1,1,0,1
6634512349100,11,0,compute_end,1,1,0,1
6634512434100,11,0,forward_end,1,-1,0,1
6634512462300,12,0,forward_begin,0,-1,0,1
6634512833400,12,0,msa_scan_begin,1,-1,0,4
6634512835700,12,0,msa_scan_end,1,-1,0,4
6634512835700,12,0,msa_select_begin,1,-1,0,4
6634512835900,12,0,msa_select_end,1,-1,0,4
6634512919200,12,0,route_ready,1,1,0,0
6634512919200,12,0,route_ready,1,0,0,0
6634512919700,12,0,weight_lru,1,1,0,0
6634512919700,12,0,weight_lru,1,0,0,1
6634512919800,12,0,compute_start,1,1,0,0
6634513010600,12,0,compute_end,1,1,0,0
6634513010800,12,0,compute_start,1,0,0,1
6634513095400,12,0,compute_end,1,0,0,1
6634513179200,12,0,forward_end,1,-1,0,1
6634513206400,13,0,forward_begin,0,-1,0,1
6634513581000,13,0,msa_scan_begin,1,-1,0,4
6634513581200,13,0,msa_scan_end,1,-1,0,4
6634513581300,13,0,msa_select_begin,1,-1,0,4
6634513581400,13,0,msa_select_end,1,-1,0,4
6634513715600,13,0,route_ready,1,1,0,0
6634513715700,13,0,route_ready,1,0,0,0
6634513716200,13,0,weight_lru,1,1,0,0
6634513716200,13,0,weight_lru,1,0,0,1
6634513716300,13,0,compute_start,1,1,0,0
6634513813900,13,0,compute_end,1,1,0,0
6634513814200,13,0,compute_start,1,0,0,1
6634513901000,13,0,compute_end,1,0,0,1
6634513984700,13,0,forward_end,1,-1,0,1
6634514011700,14,0,forward_begin,0,-1,0,1
6634514385700,14,0,msa_scan_begin,1,-1,0,4
6634514386100,14,0,msa_scan_end,1,-1,0,4
6634514386100,14,0,msa_select_begin,1,-1,0,4
6634514386300,14,0,msa_select_end,1,-1,0,4
6634514463900,14,0,route_ready,1,1,0,0
6634514463900,14,0,route_ready,1,0,0,0
6634514464400,14,0,weight_lru,1,1,0,0
6634514464400,14,0,weight_lru,1,0,0,1
6634514464500,14,0,compute_start,1,1,0,0
6634514545000,14,0,compute_end,1,1,0,0
6634514545200,14,0,compute_start,1,0,0,1
6634514631100,14,0,compute_end,1,0,0,1
6634514715700,14,0,forward_end,1,-1,0,1
6634514741400,15,0,forward_begin,0,-1,0,1
6634515096000,15,0,msa_scan_begin,1,-1,0,5
6634515096400,15,0,msa_scan_end,1,-1,0,5
6634515096400,15,0,msa_select_begin,1,-1,0,5
6634515096600,15,0,msa_select_end,1,-1,0,5
6634515181300,15,0,route_ready,1,0,0,0
6634515181300,15,0,route_ready,1,1,0,0
6634515181700,15,0,weight_lru,1,0,0,0
6634515181700,15,0,weight_lru,1,1,0,1
6634515181800,15,0,compute_start,1,0,0,0
6634515264200,15,0,compute_end,1,0,0,0
6634515264400,15,0,compute_start,1,1,0,1
6634515349000,15,0,compute_end,1,1,0,1
6634515438700,15,0,forward_end,1,-1,0,1
6634515466200,16,0,forward_begin,0,-1,0,1
6634515838500,16,0,msa_scan_begin,1,-1,0,5
